index,loop_n,restart,upper1,upper2,upper3,lower1,lower2,alpha,power,sample_size,max_ess,obj_func,temperature
1,1,0,2.13029,1.88293,1.59415,3.13269e-16,1.12976,0.0595586,0.861287,52.5086,103.198,24108.5,100
2,1,0,2.13029,1.88293,1.14427,3.13269e-16,1.12976,0.0831836,0.949355,75.351,148.091,24012.4,100
3,1,0,2.13029,1.88293,1.61356,3.13269e-16,1.12976,0.0587093,0.518613,19.2652,37.8629,24568.8,100
4,1,0,2.53841,1.88293,1.84489,-0.347227,1.12976,0.0447136,0.965978,88.3938,188.347,188.347,100
5,1,0,2.13029,1.99097,1.84489,3.13269e-16,1.64151,0.0392783,0.908566,81.3391,148.612,148.612,100
6,1,0,2.13029,1.88293,1.20875,3.13269e-16,1.12976,0.0795387,0.992573,126.669,248.95,24102,100
7,1,0,2.13029,2.0037,1.84489,3.13269e-16,0.102287,0.0494935,0.592759,24.9549,55.3764,683.136,100
8,1,0,3.62216,1.88293,1.84489,-2.49424,1.12976,0.0430715,0.827056,48.8146,111.694,378.286,100
9,1,0,2.13029,2.10268,1.84489,3.13269e-16,0.619853,0.0465641,0.540061,22.2231,48.0582,757.051,100
10,1,0,2.13029,1.88293,1.74527,3.13269e-16,1.12976,0.0534833,0.931637,72.4622,142.414,23915.1,100
11,1,0,2.81993,1.88293,1.84489,-3.4237,1.12976,0.0437461,0.891534,60.1084,135.661,302.86,100
12,1,0,2.13029,1.88293,1.23451,3.13269e-16,1.12976,0.078087,0.658007,25.526,50.1676,24425.9,100
13,1,0,2.13029,1.85751,1.84489,3.13269e-16,1.67435,0.0434943,0.854473,67.9353,120.51,344.838,100
14,1,0,2.13029,2.01454,1.84489,3.13269e-16,0.0482702,0.0492039,0.90203,60.5339,134.83,134.83,100
15,1,0,2.13029,2.01454,1.57243,3.13269e-16,0.0482702,0.0668985,0.987737,102.64,228.617,24042.7,99.901
16,1,0,2.13029,2.01454,1.24288,3.13269e-16,0.0482702,0.102279,0.96896,72.9204,162.419,24085.6,99.901
17,1,0,2.26728,2.01454,1.84489,-0.963545,0.0482702,0.048004,0.751154,36.0405,91.4667,475.061,99.901
18,1,0,3.76166,2.01454,1.84489,-0.377313,0.0482702,0.041434,0.915663,61.8678,155.235,155.235,99.901
19,1,0,3.76166,2.01454,1.11412,-0.377313,0.0482702,0.124423,0.956172,53.7416,134.351,24125.8,99.8021
20,1,0,3.94516,2.01454,1.84489,-2.27594,0.0482702,0.0421872,0.887285,54.2681,145.028,318.777,99.8021
21,1,0,3.76166,3.47415,1.84489,-0.377313,0.604705,0.0311242,0.964145,82.8764,231.085,231.085,99.8021
22,1,0,3.76166,3.47415,2.1939,-0.377313,0.604705,0.0138926,0.567759,33.949,94.66,760.957,99.7033
23,1,0,3.50183,3.47415,1.84489,-0.354058,0.604705,0.0311364,0.865049,53.9778,149.547,357.573,99.7033
24,1,0,3.76166,3.47415,1.68798,-0.377313,0.604705,0.0429286,0.990289,104.232,290.63,290.63,99.7033
25,1,0,3.76166,2.25922,1.68798,-0.377313,1.63204,0.0275851,0.89131,75.6828,166.416,333.962,99.6046
26,1,0,3.76166,1.85888,1.68798,-0.377313,0.326712,0.0569701,0.766625,34.4562,83.1809,24226.4,99.506
27,1,0,2.47681,2.25922,1.68798,-2.10827,1.63204,0.0310626,0.621577,36.0799,76.7123,660.049,99.506
28,1,0,3.76166,1.95186,1.68798,-0.377313,0.399425,0.0532468,0.973384,81.0627,197.218,23969.2,99.506
29,1,0,3.76166,2.84354,1.68798,-0.377313,1.66522,0.0239135,0.982301,129.01,309.939,309.939,99.506
30,1,0,3.76166,2.83661,1.68798,-0.377313,0.545315,0.0434049,0.996245,123.313,329.204,329.204,99.4076
31,1,0,3.76166,2.50084,1.68798,-0.377313,1.45908,0.0303717,0.993746,143.341,336.728,336.728,99.4076
32,1,0,3.76166,2.50084,2.2347,-0.377313,1.45908,0.0136161,0.993008,146.792,344.835,344.835,99.3092
33,1,0,3.76166,2.50084,2.34866,-0.377313,1.45908,0.0115771,0.983422,128.733,302.412,302.412,99.2109
34,1,0,3.76166,3.67077,2.34866,-0.377313,-0.305828,0.00937653,0.910687,82.4386,235.9,235.9,99.1126
35,1,0,3.76166,3.67077,1.91067,-0.377313,-0.305828,0.0274619,0.99859,151.221,432.724,432.724,99.0145
36,1,0,3.71389,3.67077,2.34866,-1.26485,-0.305828,0.00948031,0.841755,67.3342,197.553,441.487,99.0145
37,1,0,3.76166,3.67077,3.61599,-0.377313,-0.305828,0.000313527,0.660695,95.7512,273.995,797.031,99.0145
38,1,0,3.91461,3.67077,2.34866,-1.50772,-0.305828,0.00945021,0.937019,90.2633,265.705,265.705,99.0145
39,1,0,3.67292,3.67077,2.34866,-3.47878,-0.305828,0.00949431,0.937755,90.5195,266.494,266.494,98.9165
40,1,0,2.13029,2.09602,1.84489,3.13269e-16,1.46551,0.0395385,0.182175,5.83585,11.1982,1271.87,98.8186
41,1,0,2.13029,2.03178,1.84489,3.13269e-16,0.309133,0.0486452,0.933429,69.8051,153.554,153.554,98.8186
42,1,0,2.13029,2.03178,1.17534,3.13269e-16,0.309133,0.109153,0.981234,85.4002,187.859,24132.2,98.7208
43,1,0,2.13029,2.03178,1.79389,3.13269e-16,0.309133,0.0512538,0.912902,62.1486,136.712,23902.6,98.7208
44,1,0,2.13029,2.03178,1.10222,3.13269e-16,0.309133,0.119237,0.975649,77.7362,171.001,24146.5,98.7208
45,1,0,2.13029,2.02243,1.84489,3.13269e-16,0.972609,0.0468808,0.335964,11.5042,23.6288,1047.23,98.7208
46,1,0,3.62926,2.03178,1.84489,-2.3995,0.309133,0.0414679,0.989953,102.833,268.157,268.157,98.7208
47,1,0,2.13029,2.02842,1.84489,3.13269e-16,0.0616288,0.0488308,0.839665,48.8234,108.848,356.003,98.7208
48,1,0,2.13029,2.04244,1.84489,3.13269e-16,1.75497,0.0359165,0.738119,52.0847,93.9478,497.635,98.7208
49,1,0,2.13029,1.86786,1.84489,3.13269e-16,1.68383,0.0428923,0.736609,49.0702,87.0498,493.064,98.7208
50,1,0,2.13029,1.89035,1.84489,3.13269e-16,1.53139,0.0445539,0.988925,135.731,248.894,248.894,98.7208
51,1,0,2.13029,2.03178,1.40516,3.13269e-16,0.309133,0.0816927,0.966859,75.1308,165.269,24025,98.7208
52,1,0,2.13029,1.86728,1.84489,3.13269e-16,1.47826,0.0463357,0.727067,42.9178,79.1708,499.896,98.7208
53,1,0,2.13029,2.03178,1.8419,3.13269e-16,0.309133,0.0487902,0.88237,56.303,123.853,305.179,98.7208
54,1,0,2.94715,2.03178,1.84489,-0.39826,0.309133,0.0412548,0.874791,53.2571,130.858,323.867,98.7208
55,1,0,3.77434,2.03178,1.84489,-0.0708685,0.309133,0.0397743,0.764541,39.8747,95.2353,458.193,98.7208
56,1,0,2.13029,2.03178,0.629336,3.13269e-16,0.309133,0.19294,0.983336,84.9615,186.894,24389.6,98.7208
57,1,0,2.13029,2.11771,1.84489,3.13269e-16,1.84297,0.0327198,0.642578,43.7281,78.5404,629.504,98.7208
58,1,0,2.13029,1.93557,1.84489,3.13269e-16,0.581945,0.051183,0.892478,58.4582,124.253,24055.6,98.7208
59,1,0,3.41598,2.03178,1.84489,0.0672017,0.309133,0.0391263,0.873114,56.0621,130.68,326.273,98.7208
60,1,0,2.13029,2.03178,1.1931,3.13269e-16,0.309133,0.106794,0.996103,129.909,285.768,24222.9,98.7208
61,1,0,2.13029,2.03178,0.985017,3.13269e-16,0.309133,0.136494,0.995886,127.47,280.403,24309.1,98.7208
62,1,0,2.13029,2.03178,1.65504,3.13269e-16,0.309133,0.0598828,0.594991,21.9905,48.3738,24465.2,98.7208
63,1,0,2.13029,2.03178,0.819979,3.13269e-16,0.309133,0.162377,0.9289,48.0386,105.673,24214.1,98.7208
64,1,0,2.13029,2.03178,0.770172,3.13269e-16,0.309133,0.170376,0.937789,50.7862,111.717,24244.8,98.7208
65,1,0,3.82239,2.01454,1.84489,-0.0581183,0.0482702,0.0403731,0.854023,51.3632,123.468,348.49,98.7208
66,1,0,3.82239,2.01454,0.308303,-0.0581183,0.0482702,0.267546,0.946044,47.2513,113.584,24546.3,98.6231
67,1,0,3.82239,2.28103,1.84489,-0.0581183,0.328832,0.0342439,0.605509,27.4976,67.8371,675.943,98.6231
68,1,0,3.72032,2.01454,1.84489,-1.92708,0.0482702,0.0421938,0.850205,48.0688,128.288,359.196,98.6231
69,1,0,2.45777,2.01454,1.84489,-2.72794,0.0482702,0.0453008,0.973837,83.7524,219.955,219.955,98.5255
70,1,0,2.45777,2.01454,0.499932,-2.72794,0.0482702,0.277845,0.986849,52.2017,137.095,24601.5,98.4279
71,1,0,2.81135,2.01454,1.84489,-0.713355,0.0482702,0.0427436,0.960938,76.7312,196.366,196.366,98.4279
72,1,0,2.2303,2.01454,1.84489,-0.237487,0.0482702,0.0477294,0.97934,92.5003,217.581,217.581,98.3305
73,1,0,2.79738,2.01454,1.84489,-0.746864,0.0482702,0.0428194,0.989504,102.471,262.767,262.767,98.2332
74,1,0,2.79738,2.01454,0.238776,-0.746864,0.0482702,0.329136,0.997898,91.1136,233.642,24856.2,98.1359
75,1,0,2.79738,2.01454,0.983624,-0.746864,0.0482702,0.155184,0.999829,151.776,389.199,24475.5,98.1359
76,1,0,2.63363,2.01454,1.84489,-0.992059,0.0482702,0.0437311,0.998468,137.258,355.189,355.189,98.1359
77,1,0,2.63363,1.93267,1.84489,-0.992059,0.255247,0.0465592,0.994347,113.107,284.634,284.634,98.0388
78,1,0,2.63363,1.93267,0.769209,-0.992059,0.255247,0.19655,0.999092,110.645,278.438,24492.2,97.9417
79,1,0,2.63363,2.06705,1.84489,-0.992059,1.78358,0.026839,0.964407,115.94,234.363,234.363,97.9417
80,1,0,2.63363,2.06705,1.97849,-0.992059,1.78358,0.0255229,0.966936,118.375,239.285,239.285,97.8448
81,1,0,2.63363,2.48516,1.97849,-0.992059,0.733338,0.0275807,0.976512,95.1882,239.842,239.842,97.7479
82,1,0,2.63363,2.49346,1.97849,-0.992059,-0.784356,0.028178,0.971893,89.977,250.38,250.38,97.6512
83,1,0,3.34039,2.49346,1.97849,-1.70683,-0.784356,0.0260159,0.992086,115.081,331.537,331.537,97.5545
84,1,0,2.63363,2.04672,1.97849,-0.992059,-0.231095,0.0360717,0.985097,100.82,267.12,267.12,97.5545
85,1,0,3.27478,2.04672,1.97849,-0.433503,-0.231095,0.034061,0.995169,125.902,321.994,321.994,97.458
86,1,0,3.27478,2.04672,1.3878,-0.433503,-0.231095,0.0830456,0.991141,91.2802,233.449,24097.3,97.3615
87,1,0,3.00127,2.04672,1.97849,-0.51494,-0.231095,0.0344422,0.977845,94.2503,242.404,242.404,97.3615
88,1,0,3.00127,2.66009,1.97849,-0.51494,1.27073,0.0217512,0.98113,110.428,267.251,267.251,97.2651
89,1,0,3.00127,2.66009,1.40974,-0.51494,1.27073,0.0509781,0.990671,120.26,291.046,24056.1,97.1688
90,1,0,2.13029,2.01454,0.0633556,3.13269e-16,0.0482702,0.300037,0.898698,33.1613,73.8619,24762.9,97.1688
91,1,0,2.13029,2.10177,1.84489,3.13269e-16,0.737706,0.0462299,0.985464,107.363,229.352,229.352,97.1688
92,1,0,2.20853,2.01454,1.84489,-0.0462814,0.0482702,0.0474651,0.782931,41.1929,93.4389,428.05,97.1688
93,1,0,3.57935,2.01454,1.84489,-0.00445768,0.0482702,0.040129,0.883379,57.1536,135.947,315.717,97.1688
94,1,0,2.13029,1.89481,1.84489,3.13269e-16,1.25009,0.0484013,0.810886,49.5029,95.5669,387.085,97.1688
95,1,0,3.277,2.01454,1.84489,-2.7971,0.0482702,0.0422904,0.985225,95.0706,253.698,253.698,97.1688
96,1,0,2.13029,2.01454,0.137934,3.13269e-16,0.0482702,0.289561,0.986047,88.0479,196.114,24696.7,97.1688
97,1,0,3.29916,2.01454,1.84489,-1.31704,0.0482702,0.0422534,0.993396,110.286,291.798,291.798,97.1688
98,1,0,2.12102,2.01454,1.84489,-1.9829,0.0482702,0.0515658,0.983945,92.6341,238.282,24005.1,97.1688
99,1,0,2.13029,2.11875,1.84489,3.13269e-16,0.505702,0.0464687,0.846912,50.5988,110.758,346.742,97.1688
100,1,0,2.13029,2.01454,1.35289,3.13269e-16,0.0482702,0.0886514,0.939971,59.5866,132.72,24013.9,97.1688
101,1,0,2.13029,1.94815,1.84489,3.13269e-16,0.0354295,0.0512129,0.915061,63.5656,140.599,23906.3,97.1688
102,1,0,2.86094,2.01454,1.84489,-0.286716,0.0482702,0.0418703,0.978589,91.6116,224.839,224.839,97.1688
103,1,0,3.98543,2.01454,1.84489,-1.49214,0.0482702,0.0421746,0.925387,63.0073,167.571,167.571,97.1688
104,1,0,3.98543,2.01454,1.25836,-1.49214,0.0482702,0.105355,0.914712,41.8017,111.174,24043.8,97.0727
105,1,0,2.04271,2.01454,1.84489,-1.44452,0.0482702,0.0540253,0.937772,65.6867,166.735,23941.1,97.0727
106,1,0,2.02916,2.01454,1.84489,-1.3148,0.0482702,0.0544937,0.926644,62.2683,157.332,23933.2,97.0727
107,1,0,3.98543,3.90809,1.84489,-1.49214,-0.57826,0.03252,0.986941,99.3947,294.741,294.741,97.0727
108,1,0,3.98543,3.90809,-0.519131,-1.49214,-0.57826,0.616911,0.999895,99.2821,294.407,25804.2,96.9766
109,1,0,3.96906,3.90809,1.84489,-0.832246,-0.57826,0.0323546,0.989176,103.6,304.352,304.352,96.9766
110,1,0,3.96906,3.90809,0.473265,-0.832246,-0.57826,0.301594,0.999209,101.951,299.508,24837.2,96.8806
111,1,0,3.98184,3.90809,1.84489,-2.94195,-0.57826,0.0325339,0.972758,85.1803,253.107,253.107,96.8806
112,1,0,3.92906,3.90809,1.84489,-3.07325,-0.57826,0.0325364,0.964938,80.1972,238.247,238.247,96.7847
113,1,0,3.92906,2.682,1.84489,-3.07325,-1.21147,0.0331516,0.768372,39.749,117.175,474.228,96.6889
114,1,0,3.92906,3.90809,2.72335,-3.07325,-0.57826,0.00326503,0.924886,103.899,308.661,308.661,96.6889
115,1,0,2.13029,2.01454,0.786299,3.13269e-16,0.0482702,0.175714,0.984188,85.6084,190.68,24340.2,96.6889
116,1,0,2.13029,2.01454,1.60393,3.13269e-16,0.0482702,0.0643554,0.918727,58.6236,130.575,23936.8,96.6889
117,1,0,2.55267,2.01454,1.84489,-0.239111,0.0482702,0.0432778,0.987574,103.683,249.634,249.634,96.6889
118,1,0,2.13029,2.01454,1.13271,3.13269e-16,0.0482702,0.117705,0.98697,93.7882,208.899,24179.6,96.6889
119,1,0,2.13029,2.01454,1.53293,3.13269e-16,0.0482702,0.0702861,0.987501,101.309,225.652,24050.2,96.6889
120,1,0,3.37485,2.01454,1.84489,-2.92161,0.0482702,0.0422504,0.780045,39.3765,105.137,444.196,96.6889
121,1,0,2.13029,2.01454,1.4453,3.13269e-16,0.0482702,0.078618,0.497843,13.2997,29.6232,24653.9,96.6889
122,1,0,2.13029,2.01454,0.899282,3.13269e-16,0.0482702,0.155524,0.98718,92.2696,205.517,24292.8,96.6889
123,1,0,2.13029,2.01454,0.304314,3.13269e-16,0.0482702,0.263354,0.937639,45.9866,102.428,24522.2,96.6889
124,1,0,2.13029,2.01454,1.62463,3.13269e-16,0.0482702,0.0627595,0.658585,25.5684,56.9498,24384.6,96.6889
125,1,0,2.13029,2.10384,1.84489,3.13269e-16,0.830779,0.0457977,0.917082,66.5397,140.678,140.678,96.6889
126,1,0,2.81096,2.10384,1.84489,-2.20392,0.830779,0.0386607,0.352034,12.4078,30.227,1029.06,96.5932
127,1,0,2.19793,2.10384,1.84489,-0.952195,0.830779,0.0454967,0.943733,71.402,164.89,164.89,96.5932
128,1,0,2.19793,1.94679,1.84489,-0.952195,1.76161,0.03722,0.796585,59.9924,115.792,429.355,96.4976
129,1,0,2.19793,2.16151,1.84489,-0.952195,1.50009,0.0364466,0.857077,62.5627,129.695,350.009,96.402
130,1,0,3.00576,2.16151,1.84489,-1.51491,1.50009,0.0286184,0.914091,77.4412,171.631,171.631,96.3066
131,1,0,3.66608,2.16151,1.84489,-2.17166,1.50009,0.0282015,0.984216,121.772,274.032,274.032,96.2113
132,1,0,2.73096,2.16151,1.84489,-1.75297,1.50009,0.0295029,0.985165,123.212,269.917,269.917,96.2113
133,1,0,3.00576,1.91735,1.84489,-1.51491,0.188931,0.0461461,0.962539,76.4312,197.691,197.691,96.2113
134,1,0,3.00576,1.91735,1.3034,-1.51491,0.188931,0.0990622,0.967984,60.5213,156.54,24069.8,96.116
135,1,0,3.00576,1.91735,0.39969,-1.51491,0.188931,0.28566,0.999641,116.439,301.172,24789.7,96.116
136,1,0,3.00576,1.91735,1.16565,-1.51491,0.188931,0.121153,0.999804,139.658,361.23,24342.6,96.116
137,1,0,3.00576,1.91735,0.308419,-1.51491,0.188931,0.304942,0.997977,85.9418,222.291,24770.3,96.116
138,1,0,3.00576,1.91735,1.29616,-1.51491,0.188931,0.100132,0.981791,69.9431,180.91,24097.5,96.116
139,1,0,3.37124,1.91735,1.84489,-1.05266,0.188931,0.0458171,0.981266,90.2326,231.685,231.685,96.116
140,1,0,2.13029,1.98358,1.84489,3.13269e-16,0.374236,0.0499376,0.952844,77.7156,169.2,169.2,96.0209
141,1,0,2.13029,1.89185,1.84489,3.13269e-16,1.22618,0.0487977,0.963568,92.0969,178.429,178.429,95.9259
142,1,0,2.13029,1.89185,1.67679,3.13269e-16,1.22618,0.054028,0.74108,38.5459,74.6789,24248.2,95.8309
143,1,0,2.13029,1.96813,1.84489,3.13269e-16,0.86457,0.0491117,0.979074,99.3137,205.368,205.368,95.8309
144,1,0,2.13029,1.93753,1.84489,3.13269e-16,0.497088,0.0512694,0.858857,51.7558,110.911,24094.4,95.736
145,1,0,2.13029,2.05902,1.84489,3.13269e-16,0.0179833,0.0480758,0.995448,134.344,301.062,301.062,95.736
146,1,0,2.13029,1.96813,1.52165,3.13269e-16,0.86457,0.0666265,0.989804,111.915,231.427,24044.7,95.736
147,1,0,2.13029,1.96813,1.28968,3.13269e-16,0.86457,0.0843651,0.977513,89.2666,184.592,24052.5,95.736
148,1,0,2.47519,1.96813,1.84489,0.283,0.86457,0.0413669,0.981593,112.806,231.17,231.17,95.736
149,1,0,2.13029,1.96752,1.84489,3.13269e-16,0.310201,0.0504819,0.971922,89.6962,195.8,23959.3,95.736
150,1,0,2.13029,1.96813,0.869046,3.13269e-16,0.86457,0.121723,0.980626,91.3217,188.842,24172,95.736
151,1,0,3.70478,1.96813,1.84489,-1.54079,0.86457,0.0418286,0.9259,65.6814,158.28,158.28,95.736
152,1,0,3.70478,2.74069,1.84489,-1.54079,0.922242,0.0305174,0.858765,53.6696,140.93,358.643,95.6413
153,1,0,3.70478,1.96813,1.73232,-1.54079,0.86457,0.0478104,0.957045,74.3481,179.165,179.165,95.6413
154,1,0,3.70478,2.28828,1.73232,-1.54079,-0.639879,0.0444433,0.92412,59.6209,168.984,168.984,95.5466
155,1,0,3.70478,3.13671,1.73232,-1.54079,0.675018,0.0397796,0.910404,58.4873,161.943,161.943,95.452
156,1,0,3.70478,2.36063,1.73232,-1.54079,0.513479,0.0426578,0.739253,34.0286,89.6624,491.602,95.3575
157,1,0,3.70478,2.0392,1.73232,-1.54079,1.23841,0.040065,0.8034,46.4411,106.914,409.971,95.3575
158,1,0,3.70478,3.37367,1.73232,-1.54079,-0.588706,0.0416206,0.904929,55.5559,163.296,163.296,95.3575
159,1,0,3.70478,3.37185,1.73232,-1.54079,-0.495402,0.0416182,0.918793,58.7748,172.457,172.457,95.2632
160,1,0,3.70478,3.05209,1.73232,-1.54079,-0.040376,0.0415921,0.994897,111.157,318.703,318.703,95.1689
161,1,0,3.86779,3.05209,1.73232,-1.63698,-0.040376,0.0415837,0.969692,78.2207,224.553,224.553,95.0747
162,1,0,3.86779,2.18752,1.73232,-1.63698,-0.367054,0.0458634,0.919004,58.0652,161.686,161.686,94.9805
163,1,0,3.86779,2.18752,2.02539,-1.63698,-0.367054,0.0282474,0.652089,33.3907,92.9784,629.281,94.8865
164,1,0,3.86779,2.16848,1.73232,-1.63698,1.51955,0.0308455,0.850484,61.7961,138.895,369.373,94.8865
165,1,0,2.13029,1.98026,1.84489,3.13269e-16,1.17674,0.0462914,0.866151,57.982,114.825,321.153,94.8865
166,1,0,3.02547,2.01454,1.84489,-0.416677,0.0482702,0.0418432,0.990285,106.392,266.307,266.307,94.8865
167,1,0,2.13029,2.01454,0.805396,3.13269e-16,0.0482702,0.172241,0.957314,58.8809,131.149,24270,94.8865
168,1,0,3.75435,2.01454,1.84489,-1.28161,0.0482702,0.0421629,0.96882,80.6979,213.722,213.722,94.8865
169,1,0,2.13029,1.97845,1.84489,3.13269e-16,0.473032,0.0499802,0.904374,61.2408,132.201,132.201,94.8865
170,1,0,2.22512,1.97845,1.84489,-0.627989,0.473032,0.0493513,0.263243,7.19191,16.9673,1152.67,94.7926
171,1,0,2.13029,1.97845,1.51037,3.13269e-16,0.473032,0.0716718,0.857587,44.2202,95.4586,24143.8,94.7926
172,1,0,3.90943,1.97845,1.84489,-2.80698,0.473032,0.0430272,0.934853,66.1301,168.438,168.438,94.7926
173,1,0,3.90943,1.97845,1.80348,-2.80698,0.473032,0.0454132,0.83695,45.2545,115.266,366.607,94.6988
174,1,0,3.90943,2.73816,1.84489,-2.80698,-2.12642,0.0330033,0.65646,30.2131,90.1248,619.689,94.6988
175,1,0,3.90943,2.48478,1.84489,-2.80698,0.931887,0.031509,0.760034,40.847,104.527,474.432,94.6988
176,1,0,3.90943,1.97845,1.31469,-2.80698,0.473032,0.0922664,0.874042,38.1031,97.0515,24183.5,94.6988
177,1,0,3.90943,2.22541,1.84489,-2.80698,-0.633049,0.0370447,0.957308,75.27,214.236,214.236,94.6988
178,1,0,3.90943,2.79811,1.84489,-2.80698,0.668541,0.0318192,0.983764,97.1454,263.181,263.181,94.605
179,1,0,3.90943,2.79811,1.68279,-2.80698,0.668541,0.0441116,0.998832,140.046,379.404,379.404,94.5114
180,1,0,3.90943,2.79811,2.60754,-2.80698,0.668541,0.0059959,0.970585,119.999,325.095,325.095,94.5114
181,1,0,3.90943,3.76342,2.60754,-2.80698,0.9379,0.00455827,0.941541,104.927,296.057,296.057,94.4178
182,1,0,3.90943,2.69535,2.60754,-2.80698,0.290545,0.00670076,0.980624,129.081,357.351,357.351,94.3244
183,1,0,3.78042,3.76342,2.60754,0.0484753,0.9379,0.00447906,0.95659,114.46,314.066,314.066,94.3244
184,1,0,3.90943,3.55676,2.60754,-2.80698,1.6714,0.00405642,0.894423,94.7978,249.58,412.326,94.3244
185,1,0,3.77793,3.55676,2.60754,-0.414337,1.6714,0.00406901,0.910434,99.6349,260.04,260.04,94.231
186,1,0,3.63429,3.55676,2.60754,0.557658,1.6714,0.00388346,0.945569,120.072,297.935,297.935,94.1377
187,1,0,3.63429,2.91008,2.60754,0.557658,1.04597,0.00509491,0.977915,141.454,335.537,335.537,94.0445
188,1,0,3.63429,2.91008,2.57208,0.557658,1.04597,0.00547723,0.972611,133.904,318.154,318.154,93.9515
189,1,0,3.63429,3.5882,2.57208,0.557658,1.417,0.0045071,0.956551,122.599,310.136,310.136,93.8585
190,1,0,3.94653,3.5882,2.57208,-0.50307,1.417,0.00477469,0.893976,90.219,242.855,406.291,93.7655
191,1,0,3.63429,3.5882,3.53215,0.557658,1.417,0.000444348,0.721566,101.08,255.7,684.904,93.7655
192,1,0,3.71855,3.5882,2.57208,0.306111,1.417,0.00464573,0.701685,60.8001,157.86,617.71,93.7655
193,1,0,3.63429,3.5882,3.11622,0.557658,1.417,0.00106048,0.942188,136.126,344.355,344.355,93.7655
194,1,0,3.63429,3.16215,3.11622,0.557658,2.46904,0.00125697,0.749566,98.22,209.85,595.892,93.6727
195,1,0,2.13029,2.12359,1.84489,3.13269e-16,0.814916,0.0454801,0.727082,36.9171,78.3868,499.088,93.6727
196,1,0,2.13029,1.91765,1.84489,3.13269e-16,0.10447,0.05226,0.977038,94.05,206.59,23975.5,93.6727
197,1,0,2.13029,1.88426,1.84489,3.13269e-16,1.58064,0.0439828,0.753619,48.5578,88.12,467.915,93.6727
198,1,0,2.13029,1.97845,1.28965,3.13269e-16,0.473032,0.0934475,0.758646,28.1742,60.82,24328.8,93.6727
199,1,0,2.34652,1.97845,1.84489,-3.16387,0.473032,0.0474713,0.977505,87.1233,215.405,215.405,93.6727
200,1,0,2.16957,1.97845,1.84489,-3.88834,0.473032,0.0509274,0.475951,16.9854,41.4955,24614.2,93.6727
201,1,0,3.5562,1.97845,1.84489,-3.70835,0.473032,0.0430485,0.931128,64.9701,165.332,165.332,93.6727
202,1,0,3.77608,1.97845,1.84489,-0.593144,0.473032,0.0426912,0.785234,40.4436,99.8042,430.864,93.58
203,1,0,3.5562,3.15811,1.84489,-3.70835,-0.0251576,0.0325889,0.981236,92.467,266.259,266.259,93.58
204,1,0,3.5562,3.15811,0.938779,-3.70835,-0.0251576,0.168624,0.998105,91.4532,263.34,24391,93.4874
205,1,0,3.5562,3.15811,1.25555,-3.70835,-0.0251576,0.103394,0.993518,84.7997,244.181,24170.8,93.4874
206,1,0,3.5562,3.15811,2.90465,-3.70835,-0.0251576,0.0024196,0.960953,129.543,373.019,373.019,93.4874
207,1,0,3.27138,3.15811,1.84489,-1.73425,-0.0251576,0.0327369,0.950226,73.1724,209.672,209.672,93.4874
208,1,0,3.27138,3.15811,3.11651,-1.73425,-0.0251576,0.0018915,0.836844,98.4842,282.202,533.706,93.3948
209,1,0,3.15935,3.15811,1.84489,-3.37482,-0.0251576,0.0328662,0.995434,118.935,340.382,340.382,93.3948
210,1,0,3.27138,3.19671,1.84489,-1.73425,-0.804838,0.0327722,0.715015,34.8986,102.451,541.754,93.3948
211,1,0,3.27138,2.14977,1.84489,-1.73425,-1.05073,0.038658,0.989038,101.322,290.33,290.33,93.3948
212,1,0,3.27138,2.42104,1.84489,-1.73425,-1.65062,0.0347246,0.857792,50.5322,147.748,366.961,93.3024
213,1,0,3.27138,2.8065,1.84489,-1.73425,0.0798001,0.0329742,0.812488,44.738,125.661,414.71,93.21
214,1,0,3.10682,2.8065,1.84489,-2.6829,0.0798001,0.0331751,0.884373,55.455,155.513,333.751,93.1178
215,1,0,3.10682,2.8065,1.38601,-2.6829,0.0798001,0.082135,0.847693,35.2382,98.8189,24194.7,93.0256
216,1,0,3.10682,2.8065,1.63254,-2.6829,0.0798001,0.0514989,0.908766,52.8825,148.299,23914.9,93.0256
217,1,0,3.10682,2.64491,1.84489,-2.6829,1.07467,0.0297711,0.460492,19.9152,50.3595,882.007,93.0256
218,1,0,3.10682,2.8065,1.9913,-2.6829,0.0798001,0.0241205,0.905096,65.2446,182.966,182.966,93.0256
219,1,0,3.10682,2.64887,1.9913,-2.6829,1.42104,0.0197131,0.829739,59.6939,143.029,405.486,92.9335
220,1,0,3.65411,1.97845,1.84489,-0.831568,0.473032,0.0428926,0.9787,89.1067,222.541,222.541,92.9335
221,1,0,2.13029,1.97845,1.04965,3.13269e-16,0.473032,0.123133,0.956146,63.6869,137.482,24124.9,92.9335
222,1,0,2.13029,1.99878,1.84489,3.13269e-16,1.7718,0.0367936,0.865419,74.614,133.187,340.643,92.9335
223,1,0,2.13029,1.8537,1.84489,3.13269e-16,0.900868,0.0531629,0.770611,40.5551,82.0741,24207.4,92.9335
224,1,0,2.13029,2.05296,1.84489,3.13269e-16,0.961572,0.046181,0.8204,48.2708,99.7092,376.562,92.9335
225,1,0,2.13029,1.89361,1.84489,3.13269e-16,0.817805,0.0519544,0.642324,28.6916,59.0509,24378.4,92.9335
226,1,0,2.13029,1.86721,1.84489,3.13269e-16,0.00808191,0.0542477,0.633947,27.1136,59.4638,24398.8,92.9335
